OBJECTID,FID_1,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Le_1,Shape_Length,Shape_Area,FID,Site_Name,Site_Score,Site_EPA_I,SEMS_ID,Region_ID,State_1,City_1,County_1,Status_1,Latitude,Longitude,Proposed_D,Listing_Da,Constructi,Construc_1,NOID_Date,Deletion_D,Site_Listi,Site_Progr,Proposed_F,Listing_FR,NOID_FR_No,Deletion_F,Restoratio,Site_has_h,x,y,Status_2,BUFF_DIST,ORIG_FID
1,19,10006914,VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,MN,55406,-999,(612) 721-6327,LOCAL,OPEN,-999,HENNEPIN,27053,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.voa.org/,5/18/2018 0:00:00,IMAGERY/OTHER,1/2/2020 0:00:00,https://www.voamnwi.org/residential-reentry,NOT AVAILABLE,-999,0.001133097718960,{726CA616-188F-44CC-8FEA-70A3F7BB9C36},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,159.841384647093491,0.001133097718959,0.000000073286892,19,Ouachita Nevada Wood Treater,50,ARD042755231,604486,6,Arkansas,Reader,Ouachita,NPL Site,33.759453000000001,-93.104258000000002,2/4/2000 0:00:00,5/11/2000,9/21/2006,983,NA,NA,<a href=""https://semspub.epa.gov/src/document/06/300310"" target=""_blank"">ARD042755231 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0604486"" target=""_blank"">Ouachita Nevada Wood Treater</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-02-04/pdf/00-2475.pdf"" target=""_blank"">02/04/2000 (PDF)</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-11/pdf/00-11562.pdf"" target=""_blank"">05/11/2000 (PDF)</a>,NA,NA,NA,No,-10364318.591199999675155,3996547.993629999924451,Active,1.800000000000000,20
2,87,10003482,SAN JUAN COUNTY JAIL / SHERIFF'S OFFICE,297 S MAIN ST,MONTICELLO,UT,84535,-999,NOT AVAILABLE,COUNTY,OPEN,-999,SAN JUAN,49037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sanjuansheriff.org/resources/,5/3/2018 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,http://www.sanjuansheriff.org/,NOT AVAILABLE,120,0.002145324402320,{39E45CF3-6EB0-4C8B-AFF6-A512A6DACA03},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,267.352253962894281,0.002145324402323,0.000000241748483,87,Brunswick Naval Air Station,43.38,ME8170022018,101073,1,Maine,Brunswick,Cumberland,NPL Site,43.906340000000000,-69.933986000000004,10/15/1984 0:00:00,7/22/1987,9/27/2002,840,NA,NA,<a href=""https://semspub.epa.gov/src/document/01/75001255"" target=""_blank"">ME8170022018 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101073"" target=""_blank"">Brunswick Naval Air Station</a>,<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>,NA,NA,NA,No,-7785015.710660000331700,5450959.504250000230968,Active,1.800000000000000,88
3,98,10003453,MILL CREEK YOUTH CENTER,790 W 12TH ST,OGDEN,UT,84404,-999,(801) 334-0210,STATE,OPEN,32,WEBER,49057,USA,922140,CORRECTIONAL INSTITUTIONS,http://malanspeak.ogdensd.org/millcreek-youth-center,2/20/2020 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,http://malanspeak.ogdensd.org/millcreek-youth-center,JUVENILE,58,0.007870721293370,{8684BA79-5FCF-43D8-8F55-C2DBBFABFDF8},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,1021.255219038398081,0.007870721293368,0.000002657355577,98,"Cannelton Industries, Inc.",30.16,MID980678627,502931,5,Michigan,Sault Sainte Marie,Chippewa,NPL Site,46.488889000000000,-84.393061000000003,6/24/1988 0:00:00,8/30/1990,9/28/1999,656,NA,NA,<a href=""https://semspub.epa.gov/src/document/05/633517"" target=""_blank"">MID980678627 (PDF)</a>,"<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0502931"" target=""_blank"">Cannelton Industries, Inc.</a>",<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>,NA,NA,NA,No,-9394592.577010000124574,5859043.162139999680221,Active,1.800000000000000,99
4,178,10003275,HENRICO COUNTY JUVENILE DETENTION HOME,4201 E PARHAM RD,HENRICO,VA,23228,-999,(804) 501-4946,COUNTY,OPEN,12,HENRICO,51087,USA,922140,CORRECTIONAL INSTITUTIONS,https://henrico.us/juvenile-detention/,8/4/2016 0:00:00,IMAGERY/OTHER,2/24/2020 0:00:00,https://henrico.us/juvenile-detention/,JUVENILE,20,0.006654116509680,{624F2549-C7F9-443F-B3EC-125419C2AD95},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,829.703844573969491,0.006654116509683,0.000001336552281,178,Pagel's Pit,45.91,ILD980606685,500628,5,Illinois,Rockford,Winnebago,NPL Site,42.158330999999997,-89.056661000000005,10/15/1984 0:00:00,6/10/1986,9/30/1999,669,NA,NA,<a href=""https://semspub.epa.gov/src/document/05/633474"" target=""_blank"">ILD980606685 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500628"" target=""_blank"">Pagel's Pit</a>,<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>,NA,NA,NA,No,-9913742.154270000755787,5184726.245579999871552,Active,1.800000000000000,179
5,199,10001936,BUTTE PRE-RELEASE / WOMEN'S TRANSITIONAL CENTER,62 W BROADWAY ST,BUTTE,MT,59701,-999,(406) 496-5070,STATE,OPEN,204,SILVER BOW,30093,USA,922140,CORRECTIONAL INSTITUTIONS,https://cor.mt.gov/FamilyFriends/Visiting/VisitingButtePrerelease,12/8/2017 0:00:00,IMAGERY/OTHER,1/31/2020 0:00:00,http://www.cccscorp.com/programs/,MINIMUM,220,0.001565012559060,{F868CD52-1B89-4B2F-AFD2-44358425DC97},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,201.546107304383099,0.001565012559056,0.000000140056694,199,Joliet Army Ammunition Plant (Load-Assembly-Packing Area),35.23,IL0210090049,501170,5,Illinois,Joliet,Will,NPL Site,41.366199999999999,-88.077200000000005,7/22/1987 0:00:00,3/13/1989,9/29/2008,1054,NA,NA,<a href=""https://semspub.epa.gov/src/document/05/633448"" target=""_blank"">IL0210090049 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501170"" target=""_blank"">Joliet Army Ammunition Plant (Load-Assembly-Packing Area)</a>,<a href=""https://semspub.epa.gov/src/document/11/189646"" target=""_blank"">07/22/1987 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189630"" target=""_blank"">03/13/1989 (PDF)</a>,NA,NA,NA,No,-9804709.054500000551343,5066507.059530000202358,Active,1.800000000000000,200
6,200,10006939,HOPE HALL,811 E FRANKLIN ST,EVANSVILLE,IN,47711,-999,(812) 423-1949,STATE,OPEN,-999,VANDERBURGH,18163,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2850.htm,4/22/2020 0:00:00,IMAGERY,4/30/2020 0:00:00,https://www.in.gov/idoc/2850.htm,NOT AVAILABLE,100,0.002065814788050,{4FCCC372-8A4E-4F03-8768-F7420D215283},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,241.361326820929349,0.002065814788049,0.000000160388518,200,Hegeler Zinc,50,ILN000508134,508134,5,Illinois,Danville,Vermilion,NPL Site,40.076321999999998,-87.650092000000001,9/23/2004 0:00:00,4/27/2005,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/05/633453"" target=""_blank"">ILN000508134 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0508134"" target=""_blank"">Hegeler Zinc</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-2004-09-23/pdf/04-21387.pdf"" target=""_blank"">09/23/2004 (PDF)</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-04-27/pdf/05-8321.pdf"" target=""_blank"">04/27/2005 (PDF)</a>,NA,NA,NA,No,-9757163.609419999644160,4877039.390820000320673,Active,1.800000000000000,201
7,230,10001985,BURNET COUNTY JAIL / SHERIFF,1601 E POLK ST,BURNET,TX,78611,-999,(512) 715-8600,COUNTY,OPEN,266,BURNET,48053,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.burnetsheriff.com/jail/",3/1/2018 0:00:00,IMAGERY/OTHER,2/11/2020 0:00:00,https://www.burnetsheriff.com/jail/,NOT AVAILABLE,595,0.004862491004990,{BEB1C98A-6D84-4EBD-9087-E8D92AA156E2},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,588.288954353372333,0.004862491004988,0.000000915727900,230,Galen Myers Dump/Drum Salvage,42.24,IND980999635,501967,5,Indiana,Osceola,St. Joseph,NPL Site,41.695838999999999,-86.087500000000006,6/24/1988 0:00:00,3/31/1989,9/30/1998,580,NA,NA,<a href=""https://semspub.epa.gov/src/document/05/633401"" target=""_blank"">IND980999635 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501967"" target=""_blank"">Galen Myers Dump/Drum Salvage</a>,<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>,NA,NA,NA,No,-9583216.663669999688864,5115525.933280000463128,Active,1.800000000000000,231
8,254,10006313,BALDWIN PARK JAIL,14403 EAST PACIFIC AVENUE,BALDWIN PARK,CA,91706,-999,(626) 960-1955,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,5/16/2018 0:00:00,IMAGERY/OTHER,11/25/2019 0:00:00,http://www.baldwinparkpolice.com/index.php?s=jail,NOT AVAILABLE,32,0.002363867844360,{7C6D7EBC-B9F1-47C6-80BD-C90F520B7006},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,295.551533461118652,0.002363867844358,0.000000203161286,254,"TRW Microwave, Inc. (Building 825)",31.94,CAD009159088,901181,9,California,Sunnyvale,Santa Clara,NPL Site,37.384599999999999,-122.008499999999998,6/24/1988 0:00:00,2/21/1990,9/17/1993,203,NA,NA,<a href=""https://semspub.epa.gov/src/document/09/2400267"" target=""_blank"">CAD009159088 (PDF)</a>,"<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901181"" target=""_blank"">TRW Microwave, Inc. (Building 825)</a>",<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>,NA,NA,NA,No,-13581924.092499999329448,4492851.513770000077784,Active,1.800000000000000,255
9,278,10003105,FRANKLIN COUNTY JAIL,1804 OPPORTUNITY AVE,CHAMBERSBURG,PA,17201,7841,(717) 264-9513,COUNTY,OPEN,423,FRANKLIN,42055,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",4/18/2018 0:00:00,IMAGERY/OTHER,1/29/2020 0:00:00,http://www.franklincountypa.gov/index.php?section=judicial_jail,NOT AVAILABLE,468,0.005738987477530,{F00CEF76-723E-4B40-9238-3A6601F46557},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,719.297034619783062,0.005738987477530,0.000001416634089,278,George Air Force Base,33.62,CA2570024453,902737,9,California,Victorville,San Bernardino,NPL Site,34.594999999999999,-117.383300000000006,7/14/1989 0:00:00,2/21/1990,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/09/2400162"" target=""_blank"">CA2570024453 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902737"" target=""_blank"">George Air Force Base</a>,<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>,NA,NA,NA,No,-13067049.183599999174476,4108978.562839999794960,Active,1.800000000000000,279
10,286,10003244,WARREN COUNTY JAIL,200 SKYLINE VISTA DR,FRONT ROYAL,VA,22630,-999,NOT AVAILABLE,COUNTY,CLOSED,0,WARREN,51187,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.warrencountysheriff.org/divisions/corrections,5/4/2018 0:00:00,IMAGERY/OTHER,2/24/2020 0:00:00,https://www.warrencountysheriff.org/divisions/corrections,NOT AVAILABLE,375,0.002292131082340,{93F52816-DC48-497E-8559-14EFC7557AFD},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,291.214456316385963,0.002292131082341,0.000000237465133,286,Travis Air Force Base,29.49,CA5570024575,902767,9,California,Solano County,Solano,NPL Site,38.264449999999997,-121.933199999999999,7/14/1989 0:00:00,11/21/1989,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/09/2400172"" target=""_blank"">CA5570024575 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0902767"" target=""_blank"">Travis Air Force Base</a>,<a href=""https://semspub.epa.gov/src/document/11/189650"" target=""_blank"">07/14/1989 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189634"" target=""_blank"">11/21/1989 (PDF)</a>,NA,NA,NA,No,-13573541.734799999743700,4616851.381330000236630,Active,1.800000000000000,287
