OBJECTID,FID_1,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Le_1,Shape_Length,Shape_Area,FID,Site_Name,Site_Score,Site_EPA_I,SEMS_ID,Region_ID,State_1,City_1,County_1,Status_1,Latitude,Longitude,Proposed_D,Listing_Da,Constructi,Construc_1,NOID_Date,Deletion_D,Site_Listi,Site_Progr,Proposed_F,Listing_FR,NOID_FR_No,Deletion_F,Restoratio,Site_has_h,x,y,Status_2,BUFF_DIST,ORIG_FID
1,1,10002798,MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,TX,79701,-999,(432) 688-4745,COUNTY,OPEN,438,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.midland.tx.us/200/Detention,4/30/2018 0:00:00,IMAGERY/OTHER,2/27/2020 0:00:00,https://www.co.midland.tx.us/departments/SO/Pages/default.aspx,MAXIMUM,498,0.007274744147510,{86DE7B8A-37D4-4D99-984B-D70D2B8C474F},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,863.871076059260304,0.007274744147511,0.000002579058339,1,Triana/Tennessee River,61.42,ALD983166299,405546,4,Alabama,"Limestone, Morgan","Limestone, Madison, Morgan",NPL Site,34.508887999999999,-86.638193999999999,12/30/1982 0:00:00,9/8/1983,12/18/1991,62,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121406"" target=""_blank"">ALD983166299 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405546"" target=""_blank"">Triana/Tennessee River</a>,<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189620"" target=""_blank"">09/08/1983 (PDF)</a>,NA,NA,NA,No,-9644519.639329999685287,4097339.658019999973476,Active,3.000000000000000,2
2,19,10006914,VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,MN,55406,-999,(612) 721-6327,LOCAL,OPEN,-999,HENNEPIN,27053,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.voa.org/,5/18/2018 0:00:00,IMAGERY/OTHER,1/2/2020 0:00:00,https://www.voamnwi.org/residential-reentry,NOT AVAILABLE,-999,0.001133097718960,{726CA616-188F-44CC-8FEA-70A3F7BB9C36},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,159.841384647093491,0.001133097718959,0.000000073286892,2,Ciba-Geigy Corp. (McIntosh Plant),53.42,ALD001221902,400073,4,Alabama,McIntosh,Washington,NPL Site,31.279000000000000,-87.995500000000007,9/8/1983 0:00:00,9/21/1984,7/19/2000,702,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121407"" target=""_blank"">ALD001221902 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400073"" target=""_blank"">Ciba-Geigy Corp. (McIntosh Plant)</a>,<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>,NA,NA,NA,No,-9795614.252100000157952,3669035.858930000104010,Active,3.000000000000000,3
3,57,10003452,WEBER COUNTY JAIL / SHERIFF,721 W 12TH ST,OGDEN,UT,84404,-999,(801) 778-6700,COUNTY,OPEN,992,WEBER,49057,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.webercountyutah.gov/sheriff/corrections/,5/3/2018 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,http://www.webercountyutah.gov/sheriff/corrections/,MAXIMUM,888,0.006481490991700,{4D2BE202-F415-4455-9C9A-5126A48D7FBF},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,837.392170917282556,0.006481490991700,0.000001707005887,3,Olin Corp. (McIntosh Plant),39.71,ALD008188708,400153,4,Alabama,McIntosh,Washington,NPL Site,31.263888999999999,-87.994450000000001,9/8/1983 0:00:00,9/21/1984,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121408"" target=""_blank"">ALD008188708 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400153"" target=""_blank"">Olin Corp. (McIntosh Plant)</a>,<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>,NA,NA,NA,No,-9795497.366629999130964,3667067.783449999988079,Active,3.000000000000000,4
4,69,10003460,DECKER LAKE YOUTH CENTER,2310 W 2770 S,WEST VALLEY CITY,UT,84119,-999,(801) 954-9200,STATE,OPEN,18,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/decker-lake-youth-center,2/20/2020 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,https://hs.utah.gov/resource/decker-lake-youth-center,JUVENILE,30,0.006779875335210,{822243AC-C199-4B0B-85C4-C4B888786055},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,840.309715158843460,0.006779875335210,0.000001229581198,4,Stauffer Chemical Co. (LeMoyne Plant),32.34,ALD008161176,400144,4,Alabama,Axis,Mobile,NPL Site,30.969439000000001,-88.017499999999998,9/8/1983 0:00:00,9/21/1984,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121409"" target=""_blank"">ALD008161176 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400144"" target=""_blank"">Stauffer Chemical Co. (LeMoyne Plant)</a>,<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>,NA,NA,NA,No,-9798063.280899999663234,3628780.851470000110567,Active,3.000000000000000,5
5,87,10003482,SAN JUAN COUNTY JAIL / SHERIFF'S OFFICE,297 S MAIN ST,MONTICELLO,UT,84535,-999,NOT AVAILABLE,COUNTY,OPEN,-999,SAN JUAN,49037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sanjuansheriff.org/resources/,5/3/2018 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,http://www.sanjuansheriff.org/,NOT AVAILABLE,120,0.002145324402320,{39E45CF3-6EB0-4C8B-AFF6-A512A6DACA03},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,267.352253962894281,0.002145324402323,0.000000241748483,5,Stauffer Chemical Co. (Cold Creek Plant),46.77,ALD095688875,400306,4,Alabama,Bucks,Mobile,NPL Site,30.975000000000001,-88.021388999999999,9/8/1983 0:00:00,9/21/1984,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121410"" target=""_blank"">ALD095688875 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400306"" target=""_blank"">Stauffer Chemical Co. (Cold Creek Plant)</a>,<a href=""https://semspub.epa.gov/src/document/11/189640"" target=""_blank"">09/08/1983 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189627"" target=""_blank"">09/21/1984 (PDF)</a>,NA,NA,NA,No,-9798496.202400000765920,3629502.842920000199229,Active,3.000000000000000,6
6,98,10003453,MILL CREEK YOUTH CENTER,790 W 12TH ST,OGDEN,UT,84404,-999,(801) 334-0210,STATE,OPEN,32,WEBER,49057,USA,922140,CORRECTIONAL INSTITUTIONS,http://malanspeak.ogdensd.org/millcreek-youth-center,2/20/2020 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,http://malanspeak.ogdensd.org/millcreek-youth-center,JUVENILE,58,0.007870721293370,{8684BA79-5FCF-43D8-8F55-C2DBBFABFDF8},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,1021.255219038398081,0.007870721293368,0.000002657355577,6,Alabama Army Ammunition Plant,36.83,AL6210020008,400449,4,Alabama,Childersburg,Talladega,NPL Site,33.338099999999997,-86.326800000000006,10/15/1984 0:00:00,7/22/1987,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121411"" target=""_blank"">AL6210020008 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400449"" target=""_blank"">Alabama Army Ammunition Plant</a>,<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>,NA,NA,NA,No,-9609855.417810000479221,3940267.552960000000894,Active,3.000000000000000,7
7,100,10001701,WASATCH YOUTH CENTER,3534 S 700 W,SALT LAKE CITY,UT,84119,-999,(801) 265-5830,STATE,OPEN,22,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/wasatch-youth-center,2/20/2020 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,https://hs.utah.gov/resource/wasatch-youth-center,JUVENILE,46,0.007253789647020,{328625AB-1BA4-4E9F-B9C4-A975E3A81E02},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,896.998869796662689,0.007253789647020,0.000001555583984,7,Interstate Lead Co. (ILCO),42.86,ALD041906173,404344,4,Alabama,Leeds,Jefferson,NPL Site,33.688889000000003,-86.633332999999993,9/18/1985 0:00:00,6/10/1986,9/30/2014,1164,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121412"" target=""_blank"">ALD041906173 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404344"" target=""_blank"">Interstate Lead Co. (ILCO)</a>,<a href=""https://semspub.epa.gov/src/document/11/189643"" target=""_blank"">09/18/1985 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>,NA,NA,NA,No,-9643978.515280000865459,3987103.529529999941587,Active,3.000000000000000,8
8,104,10003461,SALT LAKE VALLEY DETENTION CENTER / GENESIS YOUTH CENTER,3450 S 900 W,SALT LAKE CITY,UT,84119,-999,(801) 261-5100,STATE,OPEN,79,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/genesis-youth-center,2/20/2020 0:00:00,IMAGERY/OTHER,2/20/2020 0:00:00,https://hs.utah.gov/resource/genesis-youth-center,JUVENILE,112,0.006228246628780,{9858C66E-A0B1-400A-982C-14043BB99031},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,779.497709602428245,0.006228246628783,0.000001199976616,8,T.H. Agriculture & Nutrition Co. (Montgomery Plant),44.46,ALD007454085,404285,4,Alabama,Montgomery,Montgomery,NPL Site,32.376100000000001,-86.379099999999994,6/24/1988 0:00:00,8/30/1990,9/27/2002,841,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121330"" target=""_blank"">ALD007454085 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404285"" target=""_blank"">T.H. Agriculture & Nutrition Co. (Montgomery Plant)</a>,<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189637"" target=""_blank"">08/30/1990 (PDF)</a>,NA,NA,NA,<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>,-9615677.427179999649525,3812781.480370000004768,Active,3.000000000000000,9
9,160,10003564,WASHINGTON COUNTY JAIL,4800 TOWER HILL RD,WAKEFIELD,RI,02879,-999,NOT AVAILABLE,COUNTY,NOT AVAILABLE,-999,WASHINGTON,44009,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.usacops.com/ri/s02879/,5/28/2020 0:00:00,IMAGERY,1/31/2020 0:00:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.002515707942400,{F853000D-5D13-45F7-8789-9296CF9375AE},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,317.021985121310422,0.002515707942401,0.000000355275644,9,Redstone Arsenal (USARMY/NASA),50,AL7210020742,405545,4,Alabama,Huntsville,Madison,NPL Site,34.646943999999998,-86.673055000000005,6/23/1993 0:00:00,5/31/1994,NA,NA,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121354"" target=""_blank"">AL7210020742 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405545"" target=""_blank"">Redstone Arsenal (USARMY/NASA)</a>,<a href=""https://semspub.epa.gov/src/document/11/189656"" target=""_blank"">06/23/1993 (PDF)</a>,<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>,NA,NA,NA,<a href=""https://www.epa.gov/superfund/partially-deleted-national-priorities-list-npl-sites-site-name"" target=""_blank"">Yes</a>,-9648400.348099999129772,4116005.151740000117570,Active,3.000000000000000,10
10,178,10003275,HENRICO COUNTY JUVENILE DETENTION HOME,4201 E PARHAM RD,HENRICO,VA,23228,-999,(804) 501-4946,COUNTY,OPEN,12,HENRICO,51087,USA,922140,CORRECTIONAL INSTITUTIONS,https://henrico.us/juvenile-detention/,8/4/2016 0:00:00,IMAGERY/OTHER,2/24/2020 0:00:00,https://henrico.us/juvenile-detention/,JUVENILE,20,0.006654116509680,{624F2549-C7F9-443F-B3EC-125419C2AD95},1/7/2022 0:00:00,HostedByHIFLD,1/7/2022 0:00:00,HostedByHIFLD,829.703844573969491,0.006654116509683,0.000001336552281,10,American Brass,55.61,ALD981868466,406299,4,Alabama,Headland,Henry,NPL Site,31.324999999999999,-85.404167000000001,1/19/1999 0:00:00,5/10/1999,9/1/2009,1070,NA,NA,<a href=""https://semspub.epa.gov/src/document/04/11121379"" target=""_blank"">ALD981868466 (PDF)</a>,<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406299"" target=""_blank"">American Brass</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-01-19/pdf/99-1021.pdf"" target=""_blank"">01/19/1999 (PDF)</a>,<a href=""http://www.gpo.gov/fdsys/pkg/FR-1999-05-10/pdf/99-11705.pdf"" target=""_blank"">05/10/1999 (PDF)</a>,NA,NA,NA,No,-9507148.382060000672936,3675028.898399999830872,Active,3.000000000000000,11
